Tag,Usage Count,Type
"2022 Hero Registration",10,"User Tag"
"Holistic Sleep REG 0508",10,"User Tag"
"Survival Still",10,"User Tag"
"Home Essential Kit",10,"User Tag"
"doTERRA HE Kit Order",10,"User Tag"
"Paid Media Summit VIP Buyer",10,"User Tag"
"2021 GCS Attendee",10,"User Tag"
"Paid Media Attendee",9,"User Tag"
"Common Sense REG 0424",9,"User Tag"
"(FB) HVWS Interested",9,"User Tag"
"Super List Challenge",9,"User Tag"
"Pod Parrot Podcast Appointment",9,"User Tag"
"Patriot Newsletter",9,"User Tag"
"SM2020 SUMMIT JV",8,"User Tag"
"10k in 10 Days Group",8,"User Tag"
"Leon Contact",8,"User Tag"
"Sun Oven",8,"User Tag"
"2023 BTS VIP",8,"User Tag"
"Mastermind June 10",8,"User Tag"
"EO Book: Basil",8,"User Tag"
"OILS CLASS HEK ORDER",7,"User Tag"
"HEK UPGRADE",7,"User Tag"
"SLEEP ACCELERATOR BUYER",7,"User Tag"
"2024 RL Holistic Sleep VIP Buyer",7,"User Tag"
"doTERRA Exclude for Email",7,"User Tag"
"Free Melaleuca Oil",7,"User Tag"
"Survivalist Webinars",7,"User Tag"
"Survival Water System",7,"User Tag"
"water report",7,"User Tag"
"WEBINAR REG ATHLETES PERFORMANCE",7,"User Tag"
"Survivalist LIFETIME",7,"User Tag"
"Online Summit System Buyer",7,"User Tag"
"Advertiser #31",7,"User Tag"
"Mastermind Official Member",7,"User Tag"
"Mastering High Ticket Attendee",6,"User Tag"
"HSS Presenter",6,"User Tag"
"2024 Arise & Unwind Order Bump Buyer",6,"User Tag"
"Potential Summit Host",6,"User Tag"
"EMF OTO 1 August 2024 Buyer",6,"User Tag"
"Killer Offer Creation Buyer",6,"User Tag"
"doTERRA Detox Webinar Non Buyer",6,"User Tag"
"webinar",6,"User Tag"
"Survivalist Affiliate",6,"User Tag"
"Combat Blueprint Upsell NO",6,"User Tag"
"Survivalist $7.99",5,"User Tag"
"One Diet 4 Life BOOK Buyer",5,"User Tag"
"HCMS 2023 Registrant",5,"User Tag"
"D.A.P. VIP Buyer",5,"User Tag"
"2024 Energy Blueprint VIP Buyer",5,"User Tag"
"Long Covid Masterclass JV",5,"User Tag"
"Paid Media Internal Summit JV",5,"User Tag"
"Yoga (YouTube) Attendee",5,"User Tag"
"Common Sense VIP 0424",5,"User Tag"
"Holistic Sleep VIP 0508",5,"User Tag"
"Energy Blueprint VIP 0408",5,"User Tag"
"Survivalist Renewal Offered",5,"User Tag"
"UVPaqlite Small Kit",5,"User Tag"
"Survivalist Renewal Accepted",5,"User Tag"
"Survivalist TRIAL",5,"User Tag"
"Paid Media Summit Attendee (Dec 2024)",5,"User Tag"
"2022 Keto VIP Buyer",5,"User Tag"
"Patriot Newsletter Gp2",5,"User Tag"
"Advertiser #32",5,"User Tag"
"Advertiser #33",5,"User Tag"
"HERO SUMMIT JV",5,"User Tag"
"HERO Summit Speaker",5,"User Tag"
"SUMMIT: Healthy Pregnancy",4,"User Tag"
"LONGEVITY H.A.S. JV",4,"User Tag"
"2023 TRS FREE REGISTRANT",4,"User Tag"
"Trauma Recovery Attendee (FB)",4,"User Tag"
"Breathwork Blueprint Legend Buyer",4,"User Tag"
"Frequent Flyer Magazine",4,"User Tag"
"D.A.P. JV",4,"User Tag"
"IG BUYER",4,"User Tag"
"S&M Launch Kit Buyer",4,"User Tag"
"Free Lemon Oil",4,"User Tag"
"Shatter The Stereotypes Summit VIP Buyer",4,"User Tag"
"CoachingFEST VIP Buyer",4,"User Tag"
"UVPaqlite Large Kit",4,"User Tag"
"Arctic Filters Platinum Pack (6)",4,"User Tag"
"OG-Intermediate Level 2",4,"User Tag"
"ECOM360 SUMMIT REGISTRATION",4,"User Tag"
"Family Physician Kit",4,"User Tag"
"SEPT 22 PUB VIP BUYER",4,"User Tag"
"2020 EO SUMMIT AFFILIATE",4,"User Tag"
"Productivity Summit Attendee",3,"User Tag"
"BTC Summit VIP BUYER",3,"User Tag"
"HSS 2022 October JV",3,"User Tag"
"HVR 2023 Buyer",3,"User Tag"
"HVR 2022 Summit VIP Pass",3,"User Tag"
"Survivalist Summit JV",3,"User Tag"
"Growth Hacking Summit JV",3,"User Tag"
"Slim Down Conference JV",3,"User Tag"
"Webinar Workshop Summit JV",3,"User Tag"
"OSS Lead",3,"User Tag"
"Breathwork Lifestyle Core Offer Buyer",3,"User Tag"
"Webinar Workshop Buyer FB",3,"User Tag"
"Webinar Workshop 9.97",3,"User Tag"
"Traffic Trifecta Buyer",3,"User Tag"
"SOP Frameworks Buyer",3,"User Tag"
"CoachingFEST JV",3,"User Tag"
"Shattering Black Male Stereotype Bump Buyer",3,"User Tag"
"Camp Fema",3,"User Tag"
"Heirloom Seed Kit Single Can $99",3,"User Tag"
"Sept doTERRA Promo",3,"User Tag"
"Writer Application",3,"User Tag"
"Survival Water System Registered",3,"User Tag"
"Survivalist Contact",3,"User Tag"
"SpeakerFest - SpeakerTunity Members Only - Silver 6 Months",3,"User Tag"
